"zip","area_name","LA_city","lon","lat"
"90405","Santa Monica",FALSE,-118.4659576,34.009746
"90406","Santa Monica",FALSE,-118.5000014,34.0199977
"90407","Santa Monica",FALSE,-118.5,34.02
"90408","Santa Monica",FALSE,-118.4903818,34.0258537
"90409","Santa Monica",FALSE,-118.48,34
"90410","Santa Monica",FALSE,-118.5,34.02
"90411","Santa Monica",FALSE,-118.5,34.02
"90501","Torrance",FALSE,-118.3169714,33.8291867
"90502","Torrance",FALSE,-118.2906661,33.8331717
"90503","Torrance",FALSE,-118.3520389,33.8409696
"90504","Torrance",FALSE,-118.3286614,33.8673266
"90505","Torrance",FALSE,-118.3520389,33.8101772
"90506","Torrance (Camino College)",FALSE,-118.329392,33.8844585
"90507","Torrance",FALSE,-118.31,33.83
"90508","Torrance",FALSE,-118.31,33.83
"90509","Torrance",FALSE,-118.33,33.83
"90510","Torrance",FALSE,-118.328528,33.827044
"90601","Whittier",FALSE,-118.0303189,34.0080684
"90602","Whittier",FALSE,-118.0215363,33.9717336
"90603","Whittier",FALSE,-117.9931472,33.9443011
"90604","Whittier",FALSE,-118.0244639,33.9324943
"90605","Whittier/South Whittier",FALSE,-118.0273914,33.9548846
"90606","Los Nietos",FALSE,-118.0712981,33.9722831
"90607","Whittier",FALSE,-118.02,33.96
"90608","Whittier (Whittier College)",FALSE,-118.035064,33.9807825
"90609","Whittwood (Whittier)",FALSE,-118.03,33.9799999
"90610","Los Nietos (Whittier)",FALSE,-118.07,33.97
"90623","La Palma",FALSE,-118.0449554,33.8477954
"90630","Cypress",FALSE,-118.0361736,33.816539
"90631","La Habra Heights",FALSE,-117.9600466,33.9226618
"90637","La Mirada",FALSE,-118.0037566,33.8957
"90638","La Mirada",FALSE,-118.0127534,33.9045543
"90639","La Mirada (Biola Univ.)",FALSE,-118.0179682,33.9052822
"90640","Montebello",FALSE,-118.1064156,34.0149091
"90650","Norwalk",FALSE,-118.0830047,33.9077751
"90651","Norwalk",FALSE,-118.0784449,33.9045574
"90651","Norwalk",FALSE,-118.0784449,33.9045574
"90652","Norwalk",FALSE,-118.0784449,33.9045574
"90660","Pico Rivera",FALSE,-118.0947106,33.9870228
