"zip","area_name","LA_city","lon","lat","native_territories","native_languages"
90275,"Rancho Palos Verdes",FALSE,-118.3637264,33.7456493,"Tongva,Kizh","Tongva"
90277,"Redondo Beach/Torrance",FALSE,-118.3870991,33.8322129,"Tongva,Kizh","Tongva"
90278,"Redondo Beach/Torrance",FALSE,-118.3754131,33.865913,"Tongva,Kizh","Tongva"
90280,"South Gate",FALSE,-118.188329,33.9432948,"Chumash,Tongva,Kizh","Tongva"
90290,"Topanga",FALSE,-118.61481,34.1076983,"Micqanaqa’n,Chumash,Tongva,Fernandeño Tataviam,Kizh","Chumash,Tongva"
90291,"Venice",TRUE,-118.4688776,33.9962144,"Chumash,Tongva,Kizh","Tongva"
90292,"Marina del Rey",FALSE,-118.4571974,33.9684276,"Chumash,Tongva,Kizh","Tongva"
90293,"Playa del Rey",TRUE,-118.4455164,33.9508728,"Chumash,Tongva,Kizh","Tongva"
90294,"Venice",TRUE,-118.46,33.99,"Chumash,Tongva,Kizh","Tongva"
90295,"Marina del Rey",FALSE,-118.4499975,33.979998,"Chumash,Tongva,Kizh","Tongva"
90296,"Playa Del Rey",FALSE,-118.44,33.95,"Chumash,Tongva,Kizh","Tongva"
90301,"Inglewood",FALSE,-118.3520389,33.9537917,"Chumash,Tongva,Kizh","Tongva"
90302,"Inglewood",FALSE,-118.3520389,33.9742906,"Chumash,Tongva,Kizh","Tongva"
90303,"Inglewood",FALSE,-118.3315838,33.9358352,"Chumash,Tongva,Kizh","Tongva"
90304,"Lennox",FALSE,-118.3608046,33.9387862,"Chumash,Tongva,Kizh","Tongva"
90305,"Inglewood",FALSE,-118.3286614,33.9596334,"Chumash,Tongva,Kizh","Tongva"
90306,"Inglewood",FALSE,-118.3499862,33.9599711,"Chumash,Tongva,Kizh","Tongva"
90307,"Inglewood",FALSE,-118.35,33.96,"Chumash,Tongva,Kizh","Tongva"
90308,"Inglewood",FALSE,-118.35,33.96,"Chumash,Tongva,Kizh","Tongva"
90309,"Inglewood",FALSE,-118.36,33.97,"Chumash,Tongva,Kizh","Tongva"
90310,"Inglewood",FALSE,-118.32,33.93,"Chumash,Tongva,Kizh","Tongva"
90311,"Inglewood",FALSE,-118.35,33.96,"Chumash,Tongva,Kizh","Tongva"
90312,"Inglewood",FALSE,-118.349893,33.9600199,"Chumash,Tongva,Kizh","Tongva"
90401,"Santa Monica",FALSE,-118.495155,34.0126379,"Chumash,Tongva,Kizh","Chumash,Tongva"
90402,"Santa Monica",FALSE,-118.5068325,34.0352816,"Chumash,Tongva,Kizh","Chumash,Tongva"
90403,"Santa Monica",FALSE,-118.495155,34.0279895,"Chumash,Tongva,Kizh","Chumash,Tongva"
90404,"Santa Monica",FALSE,-118.4717975,34.02875,"Chumash,Tongva,Kizh","Chumash,Tongva"
90405,"Santa Monica",FALSE,-118.4659576,34.009746,"Chumash,Tongva,Kizh","Chumash,Tongva"
90406,"Santa Monica",FALSE,-118.5000014,34.0199977,"Chumash,Tongva,Kizh","Chumash,Tongva"
90407,"Santa Monica",FALSE,-118.5,34.02,"Chumash,Tongva,Kizh","Chumash,Tongva"
90408,"Santa Monica",FALSE,-118.4903818,34.0258537,"Chumash,Tongva,Kizh","Chumash,Tongva"
90409,"Santa Monica",FALSE,-118.48,34,"Chumash,Tongva,Kizh","Chumash,Tongva"
90410,"Santa Monica",FALSE,-118.5,34.02,"Chumash,Tongva,Kizh","Chumash,Tongva"
90411,"Santa Monica",FALSE,-118.5,34.02,"Chumash,Tongva,Kizh","Chumash,Tongva"
90501,"Torrance",FALSE,-118.3169714,33.8291867,"Tongva,Kizh","Tongva"
90502,"Torrance",FALSE,-118.2906661,33.8331717,"Tongva,Kizh","Tongva"
90503,"Torrance",FALSE,-118.3520389,33.8409696,"Tongva,Kizh","Tongva"
90504,"Torrance",FALSE,-118.3286614,33.8673266,"Tongva,Kizh","Tongva"
90505,"Torrance",FALSE,-118.3520389,33.8101772,"Tongva,Kizh","Tongva"
90506,"Torrance (Camino College)",FALSE,-118.329392,33.8844585,"Tongva,Kizh","Tongva"
90507,"Torrance",FALSE,-118.31,33.83,"Tongva,Kizh","Tongva"
90508,"Torrance",FALSE,-118.31,33.83,"Tongva,Kizh","Tongva"
90509,"Torrance",FALSE,-118.33,33.83,"Tongva,Kizh","Tongva"
90510,"Torrance",FALSE,-118.328528,33.827044,"Tongva,Kizh","Tongva"
90601,"Whittier",FALSE,-118.0303189,34.0080684,"Tongva,Kizh","Tongva"
90602,"Whittier",FALSE,-118.0215363,33.9717336,"Tongva,Kizh","Tongva"
90603,"Whittier",FALSE,-117.9931472,33.9443011,"Tongva,Kizh","Tongva"
90604,"Whittier",FALSE,-118.0244639,33.9324943,"Tongva,Kizh","Tongva"
90605,"Whittier/South Whittier",FALSE,-118.0273914,33.9548846,"Tongva,Kizh","Tongva"
90606,"Los Nietos",FALSE,-118.0712981,33.9722831,"Tongva,Kizh","Tongva"
90607,"Whittier",FALSE,-118.02,33.96,"Tongva,Kizh","Tongva"
90608,"Whittier (Whittier College)",FALSE,-118.035064,33.9807825,"Tongva,Kizh","Tongva"
90609,"Whittwood (Whittier)",FALSE,-118.03,33.9799999,"Tongva,Kizh","Tongva"
90610,"Los Nietos (Whittier)",FALSE,-118.07,33.97,"Tongva,Kizh","Tongva"
90623,"La Palma",FALSE,-118.0449554,33.8477954,"Tongva,Acjachemen (Juaneño),Kizh","Tongva"
90630,"Cypress",FALSE,-118.0361736,33.816539,"Tongva,Acjachemen (Juaneño),Kizh","Tongva"
90631,"La Habra Heights",FALSE,-117.9600466,33.9226618,"Tongva,Acjachemen (Juaneño),Kizh","Tongva"
90637,"La Mirada",FALSE,-118.0037566,33.8957,"Tongva,Kizh","Tongva"
90638,"La Mirada",FALSE,-118.0127534,33.9045543,"Tongva,Kizh","Tongva"
90639,"La Mirada (Biola Univ.)",FALSE,-118.0179682,33.9052822,"Tongva,Kizh","Tongva"
90640,"Montebello",FALSE,-118.1064156,34.0149091,"Tongva,Kizh","Tongva"
90650,"Norwalk",FALSE,-118.0830047,33.9077751,"Tongva,Kizh","Tongva"
90651,"Norwalk",FALSE,-118.0784449,33.9045574,"Tongva,Kizh","Tongva"
90651,"Norwalk",FALSE,-118.0784449,33.9045574,"Tongva,Kizh","Tongva"
90652,"Norwalk",FALSE,-118.0784449,33.9045574,"Tongva,Kizh","Tongva"
90660,"Pico Rivera",FALSE,-118.0947106,33.9870228,"Tongva,Kizh","Tongva"
90661,"Pico Rivera",FALSE,-118.0857083,33.9859405,"Tongva,Kizh","Tongva"
90662,"Pico Rivera",FALSE,-118.0857083,33.9859405,"Tongva,Kizh","Tongva"
90670,"Santa Fe Springs",FALSE,-118.0712981,33.9414796,"Tongva,Kizh","Tongva"
90671,"Santa Fe Springs",FALSE,-118.08,33.95,"Tongva,Kizh","Tongva"
90701,"Cerritos",FALSE,-118.0800782,33.8648303,"Tongva,Kizh","Tongva"
90702,"Artesia",FALSE,-118.0838799,33.8657838,"Tongva,Kizh","Tongva"
90703,"Cerritos",FALSE,-118.0595907,33.8724552,"Tongva,Kizh","Tongva"
90704,"Avalon",FALSE,-118.4396756,33.3614631,"Tongva,Payómkawichum (Luiseño),Acjachemen (Juaneño),Kizh","Tongva"
90706,"Bellflower",FALSE,-118.1239717,33.8822393,"Tongva,Kizh","Tongva"
90707,"Bellflower",FALSE,-118.1243793,33.8821364,"Tongva,Kizh","Tongva"
90710,"Harbor City",TRUE,-118.2965121,33.7957752,"Tongva,Kizh","Tongva"
90711,"Lakewood",FALSE,-118.1330353,33.8522282,"Tongva,Kizh","Tongva"
90712,"Lakewood",FALSE,-118.153228,33.8493162,"Tongva,Kizh","Tongva"
90713,"Lakewood",FALSE,-118.1181199,33.8477257,"Tongva,Kizh","Tongva"
90714,"Lakewood",FALSE,-118.1330353,33.8522282,"Tongva,Kizh","Tongva"
90715,"Lakewood",FALSE,-118.0783974,33.8413324,"Tongva,Kizh","Tongva"
90716,"Hawaiian Gardens",FALSE,-118.0742249,33.830298,"Tongva,Kizh","Tongva"
90717,"Lomita/Rancho Palos Verdes",FALSE,-118.319894,33.7950887,"Tongva,Kizh","Tongva"
90723,"Paramount",FALSE,-118.1649291,33.8977737,"Tongva,Kizh","Tongva"
90731,"San Pedro/Terminal Island",TRUE,-118.2643567,33.7241323,"Tongva,Kizh","Tongva"
90732,"Rancho Palos Verdes",FALSE,-118.3140488,33.7349075,"Tongva,Kizh","Tongva"
90733,"San Pedro",TRUE,-118.2805078,33.7367479,"Tongva,Kizh","Tongva"
90734,"San Pedro",FALSE,-118.2922222,33.7358333,"Tongva,Kizh","Tongva"
90744,"Wilmington",TRUE,-118.2643567,33.7857948,"Tongva,Kizh","Tongva"
90745,"Carson",FALSE,-118.2585096,33.8232001,"Tongva,Kizh","Tongva"
90746,"Carson",FALSE,-118.2585096,33.8540061,"Tongva,Kizh","Tongva"
90747,"Carson (Cal State Univ. Dominguez Hills)",FALSE,-118.2558801,33.8641714,"Tongva,Kizh","Tongva"
90748,"Wilmington",TRUE,-118.2626058,33.7830899,"Tongva,Kizh","Tongva"
90749,"Carson",FALSE,-118.26,33.83,"Tongva,Kizh","Tongva"
90755,"Signal Hill",FALSE,-118.1678543,33.8020217,"Tongva,Kizh","Tongva"
90801,"Long Beach",FALSE,-118.187732,33.7705139,"Tongva,Kizh","Tongva"
90802,"Long Beach",FALSE,-118.1941785,33.7415317,"Tongva,Kizh","Tongva"
90803,"Long Beach",FALSE,-118.1298234,33.7523035,"Tongva,Kizh","Tongva"
90804,"Long Beach",FALSE,-118.1503026,33.7806646,"Tongva,Kizh","Tongva"
90805,"North Long Beach (Long Beach)",FALSE,-118.1766294,33.8640647,"Tongva,Kizh","Tongva"
90806,"Long Beach",FALSE,-118.1912538,33.8065036,"Tongva,Kizh","Tongva"
90807,"Long Beach",FALSE,-118.1766294,33.8332465,"Tongva,Kizh","Tongva"
90808,"Long Beach",FALSE,-118.1064156,33.8197825,"Tongva,Kizh","Tongva"
90809,"Long Beach",FALSE,-118.1495712,33.798194,"Tongva,Kizh","Tongva"
90810,"Carson/Long Beach",FALSE,-118.2234229,33.8113701,"Tongva,Kizh","Tongva"
90813,"Long Beach",FALSE,-118.1971031,33.7844997,"Tongva,Kizh","Tongva"
90814,"Long Beach",FALSE,-118.1429889,33.7709051,"Tongva,Kizh","Tongva"
90815,"Long Beach",FALSE,-118.1181199,33.7963296,"Tongva,Kizh","Tongva"
90822,"Long Beach",FALSE,-118.1495712,33.8084732,"Tongva,Kizh","Tongva"
90831,"Long Beach (World Trade Center)",FALSE,-118.2022212,33.7684556,"Tongva,Kizh","Tongva"
90832,"Long Beach (World Trade Center)",FALSE,-118.1999698,33.7699125,"Tongva,Kizh","Tongva"
90833,"Long Beach",FALSE,-118.1994298,33.7679552,"Tongva,Kizh","Tongva"
90834,"Long Beach",FALSE,-118.1991138,33.7674587,"Tongva,Kizh","Tongva"
90835,"Long Beach",FALSE,-118.1994298,33.767963,"Tongva,Kizh","Tongva"
90840,"Long Beach (Cal State University Long Beach)",FALSE,-118.1206801,33.7838081,"Tongva,Acjachemen (Juaneño),Kizh","Tongva"
90846,"Long Beach (Boeing)",FALSE,-118.145183,33.8301142,"Tongva,Kizh","Tongva"
90853,"Belmont Shores (Long Beach)",FALSE,-118.1291576,33.7591962,"Tongva,Acjachemen (Juaneño),Kizh","Tongva"
91001,"Altadena",FALSE,-118.1239717,34.2103962,"Tongva,Kizh","Tongva"
91003,"Altadena",FALSE,-118.13,34.19,"Tongva,Kizh","Tongva"
91006,"Arcadia",FALSE,-118.0244639,34.1172361,"Tongva,Kizh","Tongva"
91007,"Arcadia",FALSE,-118.0478826,34.1216975,"Tongva,Kizh","Tongva"
91008,"Duarte",FALSE,-117.9659037,34.1624549,"Tongva,Kizh","Tongva"
91009,"Duarte",FALSE,-117.9792387,34.1397138,"Tongva,Kizh","Tongva"
91010,"Bradbury",FALSE,-117.9424743,34.1579788,"Tongva,Kizh","Tongva"
91011,"La Canada-Flintridge",FALSE,-118.1941785,34.2133926,"Tongva,Kizh","Tongva"
91012,"La Canada-Flintridge",FALSE,-118.22,34.21,"Chumash,Tongva,Fernandeño Tataviam,Kizh","Tongva"
91016,"Monrovia",FALSE,-118.0068979,34.1574588,"Tongva,Kizh","Tongva"
91017,"Monrovia",FALSE,-118,34.15,"Tongva,Kizh","Tongva"
91020,"Montrose",FALSE,-118.2321952,34.2115828,"Chumash,Tongva,Fernandeño Tataviam,Kizh","Tongva"
91021,"Montrose",FALSE,-118.22,34.21,"Chumash,Tongva,Fernandeño Tataviam,Kizh","Tongva"
91023,"Mount Wilson",FALSE,-118.0676991,34.2276262,"Tongva,Kizh","Tataviam,Tongva"
91024,"Sierra Madre",FALSE,-118.0478826,34.1934312,"Tongva,Kizh","Tongva"
91025,"Sierra Madre",FALSE,-118.05,34.1599999,"Tongva,Kizh","Tongva"
91030,"South Pasadena",FALSE,-118.153228,34.1058277,"Tongva,Kizh","Tongva"
91031,"South Pasadena",FALSE,-118.15,34.12,"Tongva,Kizh","Tongva"
91040,"Shadow Hills/Sunland",TRUE,-118.3111262,34.2864053,"Chumash,Tongva,Fernandeño Tataviam,Kizh","Tataviam,Tongva"
91041,"Sunland",TRUE,-118.3,34.27,"Chumash,Tongva,Fernandeño Tataviam,Kizh","Tataviam,Tongva"
91042,"Tujunga",TRUE,-118.2292712,34.296676,"Tongva,Fernandeño Tataviam,Kizh","Tataviam,Tongva"
